,Neighborhood,ID,Name,Likes,Rating,Tips
0,Midtown South,4a807240f964a52040f51fe3,Coppola's,41,7.9,22
1,Little Italy,3fd66200f964a520dbe91ee3,Lupa,553,8.8,228
2,Flatiron,44ae8bc6f964a52027351fe3,Vezzo Thin Crust Pizza,775,8.8,271
3,Midtown,3fd66200f964a5209ee81ee3,Carmine’s Italian Restaurant,1617,8.3,553
4,Gramercy,40f1d480f964a520680a1fe3,Hearth,585,8.7,208
5,Clinton,4adce863f964a5206c6221e3,Tony's Di Napoli,540,8.4,226
6,Tribeca,3fd66200f964a520f4e41ee3,Ecco,29,7.3,19
7,Chinatown,0,0,0,0.0,0
8,Greenwich Village,4b0ddac5f964a520645123e3,Emilio's Ballato,164,8.6,66
9,Midtown,4ba56a50f964a520df0439e3,Trattoria Trecolori,171,7.0,93
10,Lincoln Square,4c353f26452620a1a292260f,Urbani Truffles,6,7.0,2
11,Upper West Side,0,0,0,0.0,0
12,West Village,543c7c63498e0a3393da47a2,Via Carota,621,9.3,160
13,Civic Center,524f650e11d2b2e01dc964f8,Terra Wine Bar,276,9.0,69
14,Upper West Side,0,0,0,0.0,0
15,Upper East Side,4b720a32f964a5209b6b2de3,Petaluma,37,6.9,27
16,Lincoln Square,3fd66200f964a520a5e31ee3,Arte Cafe,121,6.4,77
17,Hamilton Heights,0,0,0,0.0,0
18,Soho,4a149749f964a52055781fe3,Locanda Verde,1434,9.1,503
19,Upper East Side,5365a69c498e43ca2718d05c,Gina La Fornarina,21,8.1,1
20,Hudson Yards,506e48ffe4b078ebe1c30a29,Bocca Di Bacco,106,8.1,37
21,Soho,4b9e79e4f964a52035e736e3,Tiro A Segno,20,8.2,6
22,Lincoln Square,0,0,0,0.0,0
23,Flatiron,4e0a4deba80926c35bb46df2,Le Cucine @ Eataly,25,7.5,11
24,Hudson Yards,49f20537f964a520d3691fe3,Manganaro's Hero Boy,36,6.7,39
25,Battery Park City,5421eb06498e1b6b9c1bfd9c,Gran Morsi,75,8.0,23
26,Carnegie Hill,4b3bedfaf964a5209e7e25e3,Antonucci,42,8.6,13
27,Turtle Bay,4b2042fff964a5208f2f24e3,Pietro's,40,7.9,19
28,Morningside Heights,0,0,0,0.0,0
29,West Village,4ae37f19f964a520d79521e3,Piccolo Angolo,84,8.3,55
30,West Village,3fd66200f964a520cee91ee3,La Lanterna di Vittorio,556,9.0,182
31,Chinatown,4b23f44ff964a520b75d24e3,Paesano of Mulberry Street,191,7.6,92
32,Sutton Place,507c649af13693aa3f017cd0,Sirio Ristorante,53,8.4,40
33,Sutton Place,4b40fa78f964a520a8be25e3,Il Postino,26,7.8,20
34,Carnegie Hill,55881297498ef037cd45b403,Zestys Pizzeria e Salumeria,29,7.3,7
35,Carnegie Hill,4a356c9ef964a520f99c1fe3,La Mia Pizza,37,6.0,42
36,Turtle Bay,4b40fa78f964a520a8be25e3,Il Postino,26,7.8,20
37,Noho,4c7d4f1b8da18cfa1afc9ece,Osteria Morini,750,8.7,296
38,Murray Hill,551f21cd498e341e6a5e1276,Patrizia's of Manhattan,96,7.6,16
39,Midtown,57559322498e0c448e8bef53,Toscana 49,32,7.3,6
40,Clinton,4c8692bbd4e237045f778c88,Briciola,346,8.7,129
41,Midtown South,585030bc4bafb73bd0302c6d,Non Solo Piada,22,7.2,9
42,Gramercy,4f5a3f7ae4b0d28c6907c6a9,Rosticceria,36,7.4,14
43,Chelsea,4ae37f19f964a520d79521e3,Piccolo Angolo,84,8.3,55
44,Manhattan Valley,5c5b43f18194fc002c18f606,Fumo,17,8.5,6
45,Midtown South,5406665a498e800a29690993,Marta,1104,8.8,287
46,East Harlem,51b0be57498ef8fafbaa1bbd,Neapolitan Express,32,6.9,17
47,Noho,49e8b984f964a52070651fe3,Tarallucci e Vino,132,7.4,56
48,Inwood,0,0,0,0.0,0
49,West Village,57c848e6498e1f0d11d9d3f1,King,123,8.4,20
50,Greenwich Village,4c7d4f1b8da18cfa1afc9ece,Osteria Morini,750,8.7,296
