,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
124,Upper East Side,40.77563857330181,-73.96050763135,Bigoi Venezia,596e2cd68496ca6c4dcde792,40.76995154071836,-73.95748568997048,Italian Restaurant
125,Upper East Side,40.77563857330181,-73.96050763135,Caffe Buon Gusto - Manhattan,4a6133a6f964a52015c21fe3,40.77249848070456,-73.9569944284568,Italian Restaurant
126,Upper East Side,40.77563857330181,-73.96050763135,Felice 83,4e4078922271a89dd083d07e,40.77486666568879,-73.950868085548,Italian Restaurant
128,Upper East Side,40.77563857330181,-73.96050763135,Tiramisu,49fcd632f964a520e36e1fe3,40.77494597871838,-73.95693214362441,Italian Restaurant
131,Upper East Side,40.77563857330181,-73.96050763135,Numero 28 Pizza,4f3daa90e4b0fbbbd6cc20d8,40.76929345769922,-73.95496593295219,Pizza Place
132,Upper East Side,40.77563857330181,-73.96050763135,Campagnola Restaurant,4b775e32f964a520a6952ee3,40.76891229915657,-73.95526786844195,Italian Restaurant
135,Upper East Side,40.77563857330181,-73.96050763135,Maruzzella Ristorante,4b9ad6c1f964a520dcda35e3,40.771227161558244,-73.95352643269811,Italian Restaurant
138,Upper East Side,40.77563857330181,-73.96050763135,Nicola's Restaurant,4a563f81f964a520dab41fe3,40.777809999999995,-73.95625,Pizza Place
139,Upper East Side,40.77563857330181,-73.96050763135,Giovanni Venti Cinque,4b91a94bf964a520ddcd33e3,40.77909385055686,-73.9606081025997,Italian Restaurant
140,Upper East Side,40.77563857330181,-73.96050763135,Parma Restaurant,4ab972d6f964a520697f20e3,40.77493,-73.95721,Italian Restaurant
142,Upper East Side,40.77563857330181,-73.96050763135,Nino's,4a7f3e1af964a52069f31fe3,40.76818,-73.9555,Italian Restaurant
143,Upper East Side,40.77563857330181,-73.96050763135,Nica Trattoria,4b623700f964a520a83c2ae3,40.77568845803143,-73.95057000240742,Italian Restaurant
145,Upper East Side,40.77563857330181,-73.96050763135,Lex Restaurant,4aad53a2f964a520b75f20e3,40.78253,-73.9537,Italian Restaurant
148,Upper East Side,40.77563857330181,-73.96050763135,Ginos Pizzeria,4ad52027f964a5200a0221e3,40.775231503163006,-73.95130152695029,Italian Restaurant
151,Yorkville,40.77592984988488,-73.94711784471826,Arturo's,4a84af7ff964a52055fd1fe3,40.775321463019594,-73.94766206824356,Italian Restaurant
154,Yorkville,40.77592984988488,-73.94711784471826,Sandros,4b6391a9f964a52007842ae3,40.774391808592505,-73.95370694213887,Italian Restaurant
159,Yorkville,40.77592984988488,-73.94711784471826,Nica Trattoria,4b623700f964a520a83c2ae3,40.77568845803143,-73.95057000240742,Italian Restaurant
160,Yorkville,40.77592984988488,-73.94711784471826,Il Riccio,4a930ebcf964a520a71e20e3,40.774861403610636,-73.95881936282584,Italian Restaurant
162,Yorkville,40.77592984988488,-73.94711784471826,Luna Rossa,4dcf3f00d22deadedd682925,40.77654404044222,-73.95032631591812,Italian Restaurant
163,Yorkville,40.77592984988488,-73.94711784471826,Felice 83,4e4078922271a89dd083d07e,40.77486666568879,-73.950868085548,Italian Restaurant
166,Yorkville,40.77592984988488,-73.94711784471826,83 1/2,504bb0fae4b0d1cf33ca07d0,40.77520589574406,-73.95123198330161,Italian Restaurant
168,Yorkville,40.77592984988488,-73.94711784471826,Uva,42699000f964a52049211fe3,40.772118,-73.95564,Italian Restaurant
169,Yorkville,40.77592984988488,-73.94711784471826,Siena Cafe,590a65714c9be62d13348591,40.78065246711153,-73.95279230183615,Italian Restaurant
170,Yorkville,40.77592984988488,-73.94711784471826,One 83 Restaurant,4c009167ad15a59337328e73,40.77510070800781,-73.95014953613281,Italian Restaurant
173,Yorkville,40.77592984988488,-73.94711784471826,Tiramisu,49fcd632f964a520e36e1fe3,40.77494597871838,-73.95693214362441,Italian Restaurant
182,Yorkville,40.77592984988488,-73.94711784471826,Va Bene Restaurant,4b302e54f964a52066f724e3,40.77557359999253,-73.95348430590509,Italian Restaurant
185,Yorkville,40.77592984988488,-73.94711784471826,Nicola's Restaurant,4a563f81f964a520dab41fe3,40.777809999999995,-73.95625,Pizza Place
187,Yorkville,40.77592984988488,-73.94711784471826,Lex Restaurant,4aad53a2f964a520b75f20e3,40.78253,-73.9537,Italian Restaurant
190,Yorkville,40.77592984988488,-73.94711784471826,Zestys Pizzeria e Salumeria,55881297498ef037cd45b403,40.78362705223304,-73.95039975299682,Italian Restaurant
193,Yorkville,40.77592984988488,-73.94711784471826,Michael's Catering,4a931f58f964a520da1e20e3,40.780213,-73.950415,Italian Restaurant
194,Yorkville,40.77592984988488,-73.94711784471826,Francesca's Pizza & Pasta,4b7adff3f964a520d9422fe3,40.78181524777471,-73.94588334381402,Italian Restaurant
195,Yorkville,40.77592984988488,-73.94711784471826,Intimo Restaurant and Lounge,4b902c5df964a520297a33e3,40.77668149265495,-73.95259222750072,Italian Restaurant
196,Yorkville,40.77592984988488,-73.94711784471826,Pinocchio Ristorante,4bd223c941b9ef3b4770fde5,40.77985218985338,-73.94722321673736,Italian Restaurant
201,Lenox Hill,40.76811265828733,-73.9588596881376,Bigoi Venezia,596e2cd68496ca6c4dcde792,40.76995154071836,-73.95748568997048,Italian Restaurant
205,Lenox Hill,40.76811265828733,-73.9588596881376,Campagnola Restaurant,4b775e32f964a520a6952ee3,40.76891229915657,-73.95526786844195,Italian Restaurant
208,Lenox Hill,40.76811265828733,-73.9588596881376,Zucchero e Pomodori,3fd66200f964a52027ea1ee3,40.7705713185538,-73.95710722702493,Italian Restaurant
211,Lenox Hill,40.76811265828733,-73.9588596881376,Come Prima Ristorante,56bce4c5498ef768f74f4e6c,40.772053,-73.964867,Italian Restaurant
212,Lenox Hill,40.76811265828733,-73.9588596881376,Sandros,4b6391a9f964a52007842ae3,40.774391808592505,-73.95370694213887,Italian Restaurant
215,Lenox Hill,40.76811265828733,-73.9588596881376,Italian Village Pizzeria,4a90dbbef964a520a11920e3,40.772669,-73.95231899999999,Pizza Place
